thit#	eventID	hit#	channel	edge	error	coarse	fine	time
0	0	0	496	0	8	0	4	0.000000ns
1	0	1	624	0	624	0	624	0.000000ns
2	0	2	68	0	68	0	4	0.000000ns
3	0	3	7	4	1705768	0	3802920	0.000000ns
4	0	0	0	1	0	55	14	1385.937500ns
5	0	1	0	1	0	136	11	3408.593750ns
6	0	2	0	1	0	178	9	4457.031250ns
7	0	3	0	1	0	222	3	5552.343750ns
8	0	4	0	1	0	302	8	7556.250000ns
9	0	5	0	1	0	349	12	8734.375000ns
10	0	6	0	1	0	416	7	10405.468750ns
11	0	7	0	1	0	455	28	11396.875000ns
12	0	8	0	1	0	522	8	13056.250000ns
13	0	9	0	1	0	617	21	15441.406250ns
14	0	10	0	1	0	682	6	17054.687500ns
15	0	11	0	1	0	719	14	17985.937500ns
16	0	12	0	1	0	770	16	19262.500000ns
17	0	0	0	1	0	55	14	1385.937500ns
18	0	1	0	1	0	136	11	3408.593750ns
19	0	2	0	1	0	178	9	4457.031250ns
20	0	3	0	1	0	222	3	5552.343750ns
21	0	4	0	1	0	302	8	7556.250000ns
22	0	5	0	1	0	349	12	8734.375000ns
23	0	6	0	1	0	416	7	10405.468750ns
24	0	7	0	1	0	455	28	11396.875000ns
25	0	8	0	1	0	522	8	13056.250000ns
26	0	9	0	1	0	617	21	15441.406250ns
27	0	10	0	1	0	682	6	17054.687500ns
28	0	11	0	1	0	719	14	17985.937500ns
29	0	12	0	1	0	770	16	19262.500000ns
30	0	0	0	1	0	55	14	1385.937500ns
31	0	1	0	1	0	136	11	3408.593750ns
32	0	2	0	1	0	178	9	4457.031250ns
33	0	3	0	1	0	222	3	5552.343750ns
34	0	4	0	1	0	302	8	7556.250000ns
35	0	5	0	1	0	349	12	8734.375000ns
36	0	6	0	1	0	416	7	10405.468750ns
37	0	7	0	1	0	455	28	11396.875000ns
38	0	8	0	1	0	522	8	13056.250000ns
39	0	9	0	1	0	617	21	15441.406250ns
40	0	10	0	1	0	682	6	17054.687500ns
41	0	11	0	1	0	719	14	17985.937500ns
42	0	12	0	1	0	770	16	19262.500000ns
43	0	0	0	1	0	55	14	1385.937500ns
44	0	1	0	1	0	136	11	3408.593750ns
45	0	2	0	1	0	178	9	4457.031250ns
46	0	3	0	1	0	222	3	5552.343750ns
47	0	4	0	1	0	302	8	7556.250000ns
48	0	5	0	1	0	349	12	8734.375000ns
49	0	6	0	1	0	416	7	10405.468750ns
50	0	7	0	1	0	455	28	11396.875000ns
51	0	8	0	1	0	522	8	13056.250000ns
52	0	9	0	1	0	617	21	15441.406250ns
53	0	10	0	1	0	682	6	17054.687500ns
54	0	11	0	1	0	719	14	17985.937500ns
55	0	12	0	1	0	770	16	19262.500000ns
56	1	0	0	1	0	35	7	880.468750ns
57	1	1	0	1	0	76	12	1909.375000ns
58	1	2	0	1	0	145	9	3632.031250ns
59	1	3	0	1	0	184	27	4621.093750ns
60	1	4	0	1	0	225	14	5635.937500ns
61	1	5	0	1	0	269	6	6729.687500ns
62	1	6	0	1	0	367	7	9180.468750ns
63	1	7	0	1	0	415	12	10384.375000ns
64	1	8	0	1	0	488	29	12222.656250ns
65	1	9	0	1	0	595	8	14881.250000ns
66	1	10	0	1	0	657	7	16430.468750ns
67	1	11	0	1	0	702	14	17560.937500ns
68	1	12	0	1	0	758	14	18960.937500ns
69	1	13	0	1	0	797	7	19930.468750ns
70	1	0	0	1	0	35	7	880.468750ns
71	1	1	0	1	0	76	12	1909.375000ns
72	1	2	0	1	0	145	9	3632.031250ns
73	1	3	0	1	0	184	27	4621.093750ns
74	1	4	0	1	0	225	14	5635.937500ns
75	1	5	0	1	0	269	6	6729.687500ns
76	1	6	0	1	0	367	7	9180.468750ns
77	1	7	0	1	0	415	12	10384.375000ns
78	1	8	0	1	0	488	29	12222.656250ns
79	1	9	0	1	0	595	8	14881.250000ns
80	1	10	0	1	0	657	7	16430.468750ns
81	1	11	0	1	0	702	14	17560.937500ns
82	1	12	0	1	0	758	14	18960.937500ns
83	1	13	0	1	0	797	7	19930.468750ns
84	1	0	0	1	0	35	7	880.468750ns
85	1	1	0	1	0	76	12	1909.375000ns
86	1	2	0	1	0	145	9	3632.031250ns
87	1	3	0	1	0	184	27	4621.093750ns
88	1	4	0	1	0	225	14	5635.937500ns
89	1	5	0	1	0	269	6	6729.687500ns
90	1	6	0	1	0	367	7	9180.468750ns
91	1	7	0	1	0	415	12	10384.375000ns
92	1	8	0	1	0	488	29	12222.656250ns
