#thresh	rate
-61	0	0
-59	4	1600
-57	7	2800
-55	11	4400
-53	17	6800
-51	43	17200
-49	39	15600
-47	74	29600
-45	116	46400
-43	126	50400
-41	159	63600
-39	164	65600
-37	175	70000
-35	217	86800
-33	225	90000
-31	220	88000
-29	242	96800
-27	256	102400
-25	335	134000
-23	484	193600
-21	640	256000
-19	793	317200
-17	1169	467600
-15	1615	646000
-13	2027	810800
-11	2329	931600
-9	2518	1.0072e+06
-7	2568	1.0272e+06
-5	2528	1.0112e+06
-3	2410	964000
-1	2081	832400
1	1661	664400
3	1203	481200
5	798	319200
7	555	222000
9	379	151600
11	329	131600
13	219	87600
15	217	86800
17	199	79600
19	192	76800
21	165	66000
23	170	68000
25	116	46400
27	95	38000
29	62	24800
31	38	15200
33	32	12800
35	11	4400
37	11	4400
39	3	1200
41	29	11600
43	6	2400
