thit#	eventID	hit#	channel	edge	error	coarse	fine	time
0	5	0	5	1	0	346	24	8668.750000ns
1	55	0	5	1	0	253	13	6335.156250ns
2	61	0	5	1	0	758	10	18957.812500ns
3	80	0	5	1	0	734	4	18353.125000ns
4	88	0	5	1	0	732	2	18301.562500ns
5	93	0	5	1	0	744	16	18612.500000ns
6	116	0	5	1	0	583	18	14589.062500ns
7	120	0	5	1	0	55	12	1384.375000ns
8	120	1	5	1	0	765	21	19141.406250ns
9	121	0	5	1	0	578	11	14458.593750ns
10	141	0	5	1	0	86	4	2153.125000ns
11	151	0	5	1	0	543	27	13596.093750ns
12	154	0	5	1	0	88	24	2218.750000ns
13	155	0	5	1	0	65	14	1635.937500ns
14	156	0	5	1	0	79	22	1992.187500ns
15	163	0	5	1	0	704	7	17605.468750ns
16	169	0	5	1	0	175	1	4375.781250ns
17	189	0	5	1	0	747	9	18682.031250ns
18	201	0	5	1	0	643	6	16079.687500ns
19	203	0	5	1	0	650	3	16252.343750ns
20	203	1	5	1	0	741	22	18542.187500ns
21	204	0	5	1	0	448	11	11208.593750ns
22	204	1	5	1	0	536	20	13415.625000ns
23	208	0	5	1	0	656	8	16406.250000ns
24	208	1	5	1	0	747	9	18682.031250ns
25	219	0	5	1	0	597	4	14928.125000ns
26	219	1	5	1	0	685	4	17128.125000ns
27	228	0	5	1	0	3	2	76.562500ns
28	229	0	5	1	0	7	6	179.687500ns
29	230	0	5	1	0	3	9	82.031250ns
30	230	1	5	1	0	621	10	15532.812500ns
31	230	2	5	1	0	712	31	17824.218750ns
32	235	0	5	1	0	763	12	19084.375000ns
33	238	0	5	1	0	2	5	53.906250ns
34	240	0	5	1	0	644	31	16124.218750ns
35	240	1	5	1	0	730	4	18253.125000ns
36	250	0	5	1	0	501	24	12543.750000ns
37	255	0	5	1	0	752	10	18807.812500ns
38	260	0	5	1	0	65	30	1648.437500ns
39	260	1	5	1	0	694	29	17372.656250ns
40	260	2	5	1	0	779	19	19489.843750ns
41	264	0	5	1	0	53	3	1327.343750ns
42	264	1	5	1	0	760	25	19019.531250ns
43	282	0	5	1	0	277	5	6928.906250ns
44	283	0	5	1	0	243	28	6096.875000ns
45	285	0	5	1	0	43	31	1099.218750ns
46	290	0	5	1	0	81	14	2035.937500ns
47	292	0	5	1	0	28	0	700.000000ns
48	292	1	5	1	0	664	5	16603.906250ns
49	292	2	5	1	0	749	11	18733.593750ns
50	293	0	5	1	0	49	27	1246.093750ns
51	293	1	5	1	0	773	16	19337.500000ns
52	294	0	5	1	0	261	30	6548.437500ns
53	294	1	5	1	0	359	24	8993.750000ns
54	299	0	5	1	0	44	23	1117.968750ns
55	300	0	5	1	0	13	28	346.875000ns
56	301	0	5	1	0	2	5	53.906250ns
57	301	1	5	1	0	711	27	17796.093750ns
58	306	0	5	1	0	13	7	330.468750ns
59	306	1	5	1	0	726	1	18150.781250ns
60	308	0	5	1	0	12	28	321.875000ns
61	308	1	5	1	0	415	6	10379.687500ns
62	308	2	5	1	0	507	13	12685.156250ns
63	309	0	5	1	0	622	2	15551.562500ns
