#thresh	rate
-61	0	0
-59	0	0
-57	0	0
-55	0	0
-53	0	0
-51	0	0
-49	0	0
-47	0	0
-45	2	1000
-43	2	1000
-41	14	7000
-39	21	10500
-37	33	16500
-35	46	23000
-33	103	51500
-31	149	74500
-29	192	96000
-27	207	103500
-25	253	126500
-23	299	149500
-21	373	186500
-19	533	266500
-17	849	424500
-15	1184	592000
-13	1563	781500
-11	1851	925500
-9	2037	1.0185e+06
-7	2129	1.0645e+06
-5	2128	1.064e+06
-3	2063	1.0315e+06
-1	1946	973000
1	1779	889500
3	1496	748000
5	1122	561000
7	721	360500
9	455	227500
11	240	120000
13	207	103500
15	133	66500
17	68	34000
19	52	26000
21	13	6500
23	18	9000
25	0	0
27	0	0
29	0	0
31	0	0
33	0	0
35	0	0
37	0	0
39	0	0
41	0	0
43	0	0
