# Number of sweeps:200
# Match window:31
# Search window:39
# Reject offset:3456
# Bunch offset:3464
# Coarse offset:0
# Coarse rollover:3563
# Threshold: [100, 150, 1]
# Channel:15
thr	hits	freq	window	error
-54	0	0	31	0
-52	0	0	31	0
-50	0	0	31	0
-48	0	0	31	0
-46	0	0	31	0
-44	0	0	31	0
-42	0	0	31	0
-40	0	0	31	0
-38	0	0	31	0
-36	0	0	31	0
-34	0	0	31	0
-32	2	12500	31	8838.83
-30	0	0	31	0
-28	10	62500	31	19764.2
-26	13	81250	31	22534.7
-24	24	150000	31	30618.6
-22	40	250000	31	39528.5
-20	69	431250	31	51916.4
-18	120	750000	31	68465.3
-16	135	843750	31	72618.4
-14	206	1.2875e+06	31	89704.4
-12	267	1.66875e+06	31	102126
-10	302	1.8875e+06	31	108613
-8	485	3.03125e+06	31	137642
-6	706	4.4125e+06	31	166067
-4	1299	8.11875e+06	31	225260
-2	1803	1.12688e+07	31	265386
0	1881	1.17562e+07	31	271066
2	1468	9.175e+06	31	239466
4	808	5.05e+06	31	177658
6	341	2.13125e+06	31	115414
8	279	1.74375e+06	31	104396
10	164	1.025e+06	31	80039.1
12	164	1.025e+06	31	80039.1
14	111	693750	31	65847.8
16	103	643750	31	63430.6
18	67	418750	31	51158.5
20	37	231250	31	38017.3
22	31	193750	31	34798.5
24	24	150000	31	30618.6
26	11	68750	31	20728.9
28	3	18750	31	10825.3
30	0	0	31	0
32	0	0	31	0
34	0	0	31	0
36	0	0	31	0
38	0	0	31	0
40	0	0	31	0
42	0	0	31	0
44	0	0	31	0
