#thresh	dac
126	0
126	50
126	100
126	150
128	200
128	250
128	300
128	350
132	400
132	450
136	500
140	550
140	600
140	650
144	700
144	750
148	800
150	850
154	900
158	950
162	1000
162	1050
162	1100
164	1150
168	1200
168	1250
172	1300
174	1350
178	1400
178	1450
182	1500
182	1550
188	1600
190	1650
190	1700
200	1750
200	1800
202	1850
208	1900
208	1950
208	2000
212	2050
214	2100
216	2150
222	2200
228	2250
228	2300
230	2350
232	2400
236	2450
238	2500
242	2550
242	2600
246	2650
252	2700
254	2750
258	2800
