-134	0	0
-130	0	0
-126	0	0
-122	0	0
-118	0	0
-114	0	0
-110	0	0
-106	0	0
-102	0	0
-98	0	0
-94	0	0
-90	0	0
-86	0	0
-82	0	0
-78	0	0
-74	0	0
-70	0	0
-66	0	0
-62	0	0
-58	0	0
-54	0	0
-50	10	4000
-46	39	15600
-42	73	29200
-38	130	52000
-34	183	73200
-30	201	80400
-26	242	96800
-22	295	118000
-18	673	269200
-14	1535	614000
-10	2365	946000
-6	2634	1.0536e+06
-2	2430	972000
2	1667	666800
6	702	280800
10	308	123200
14	213	85200
18	213	85200
22	148	59200
26	93	37200
30	45	18000
34	16	6400
38	2	800
42	0	0
46	0	0
50	0	0
54	0	0
58	0	0
62	0	0
66	0	0
70	0	0
74	0	0
78	0	0
82	0	0
86	0	0
90	0	0
94	0	0
98	0	0
102	0	0
