#thresh	rate
-55	2	1000
-53	1	500
-51	4	2000
-49	0	0
-47	11	5500
-45	39	19500
-43	49	24500
-41	65	32500
-39	83	41500
-37	97	48500
-35	109	54500
-33	110	55000
-31	130	65000
-29	110	55000
-27	131	65500
-25	161	80500
-23	235	117500
-21	244	122000
-19	482	241000
-17	846	423000
-15	1276	638000
-13	1605	802500
-11	1874	937000
-9	2027	1.0135e+06
-7	2082	1.041e+06
-5	2044	1.022e+06
-3	1919	959500
-1	1687	843500
1	1303	651500
3	903	451500
5	570	285000
7	324	162000
9	208	104000
11	138	69000
13	112	56000
15	131	65500
17	104	52000
19	92	46000
21	75	37500
23	61	30500
25	43	21500
27	35	17500
29	13	6500
31	9	4500
33	5	2500
35	0	0
37	3	1500
39	0	0
41	0	0
43	0	0
45	0	0
47	0	0
49	0	0
51	0	0
53	0	0
