# Number of sweeps:200
# Match window:31
# Search window:39
# Reject offset:3456
# Bunch offset:3464
# Coarse offset:0
# Coarse rollover:3563
# Threshold: [100, 150, 1]
# Channel:0
thr	hits	freq	window	error
-54	1	6250	31	6250
-52	0	0	31	0
-50	1	6250	31	6250
-48	4	25000	31	12500
-46	15	93750	31	24206.1
-44	17	106250	31	25769.4
-42	14	87500	31	23385.4
-40	28	175000	31	33071.9
-38	51	318750	31	44633.9
-36	70	437500	31	52291.3
-34	96	600000	31	61237.2
-32	151	943750	31	76801.3
-30	156	975000	31	78062.5
-28	130	812500	31	71261
-26	229	1.43125e+06	31	94579.7
-24	270	1.6875e+06	31	102698
-22	355	2.21875e+06	31	117759
-20	406	2.5375e+06	31	125934
-18	466	2.9125e+06	31	134919
-16	670	4.1875e+06	31	161777
-14	787	4.91875e+06	31	175335
-12	1060	6.625e+06	31	203485
-10	1582	9.8875e+06	31	248590
-8	1994	1.24625e+07	31	279089
-6	2079	1.29938e+07	31	284975
-4	2082	1.30125e+07	31	285181
-2	1913	1.19562e+07	31	273362
0	1496	9.35e+06	31	241738
2	740	4.625e+06	31	170018
4	409	2.55625e+06	31	126398
6	288	1.8e+06	31	106066
8	187	1.16875e+06	31	85467.5
10	174	1.0875e+06	31	82443.2
12	146	912500	31	75519
14	124	775000	31	69597.1
16	70	437500	31	52291.3
18	93	581250	31	60272.8
20	70	437500	31	52291.3
22	31	193750	31	34798.5
24	32	200000	31	35355.3
26	26	162500	31	31868.9
28	8	50000	31	17677.7
30	8	50000	31	17677.7
32	3	18750	31	10825.3
34	2	12500	31	8838.83
36	0	0	31	0
38	0	0	31	0
40	0	0	31	0
42	0	0	31	0
44	0	0	31	0
