-64	0	0
-62	0	0
-60	0	0
-58	0	0
-56	0	0
-54	1	2000
-52	0	0
-50	3	6000
-48	3	6000
-46	7	14000
-44	4	8000
-42	10	20000
-40	12	24000
-38	10	20000
-36	15	30000
-34	12	24000
-32	9	18000
-30	35	70000
-28	36	72000
-26	42	84000
-24	63	126000
-22	61	122000
-20	126	252000
-18	174	348000
-16	228	456000
-14	342	684000
-12	423	846000
-10	485	970000
-8	524	1.048e+06
-6	534	1.068e+06
-4	516	1.032e+06
-2	496	992000
0	439	878000
2	354	708000
4	253	506000
6	161	322000
8	106	212000
10	78	156000
12	60	120000
14	40	80000
16	28	56000
18	39	78000
20	41	82000
22	32	64000
24	31	62000
26	25	50000
28	23	46000
30	14	28000
32	4	8000
34	2	4000
36	6	12000
38	4	8000
40	0	0
42	0	0
44	0	0
46	0	0
48	0	0
50	0	0
52	0	0
54	0	0
