thr	hits	freq	error
-74	0	0	
-70	0	0	
-66	0	0	
-62	0	0	
-58	0	0	
-54	0	0	
-50	0	0	
-46	1	500	500
-42	0	0	
-38	0	0	
-34	3	1500	866.025
-30	16	8000	2000
-26	48	24000	3464.1
-22	131	65500	5722.76
-18	229	114500	7566.37
-14	469	234500	10828.2
-10	1607	803500	20043.7
-6	11523	5.7615e+06	53672.6
-2	12310	1.231e+07	110950
2	8800	8.8e+06	93808.3
6	1494	1.494e+06	38652.3
10	259	259000	16093.5
14	45	45000	6708.2
18	18	18000	4242.64
22	4	4000	2000
26	1	1000	1000
30	0	0	
34	0	0	
38	0	0	
42	0	0	
46	0	0	
50	0	0	
54	0	0	
58	0	0	
62	0	0	
66	0	0	
70	0	0	
74	0	0	
