thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	0	0	
-48	0	0	
-44	1	800	800
-40	4	3200	1600
-36	5	4000	1788.85
-32	29	23200	4308.13
-28	67	53600	6548.28
-24	86	68800	7418.89
-20	164	131200	10245
-16	470	376000	17343.6
-12	970	776000	24915.9
-8	1264	1.0112e+06	28442.2
-4	1276	1.0208e+06	28576.9
0	1058	846400	26021.5
4	524	419200	18312.8
8	166	132800	10307.3
12	58	46400	6092.62
16	54	43200	5878.78
20	24	19200	3919.18
24	1	800	800
28	1	800	800
32	0	0	
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
