#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time
1	-84	1	0	0	1	0	17	22	442.187500ns
2	-84	1	1	0	1	0	24	7	605.468750ns
3	-84	1	2	0	1	0	27	7	680.468750ns
4	-84	1	3	0	1	0	638	7	15955.468750ns
5	-84	1	4	0	1	0	644	31	16124.218750ns
6	-84	1	5	0	1	0	650	25	16269.531250ns
7	-84	1	6	0	1	0	680	3	17002.343750ns
8	-84	1	7	0	1	0	731	3	18277.343750ns
9	-84	1	8	0	1	0	737	0	18425.000000ns
10	-84	2	0	0	1	0	24	10	607.812500ns
11	-84	2	1	0	1	0	642	4	16053.125000ns
12	-84	2	2	0	1	0	647	29	16197.656250ns
13	-84	2	3	0	1	0	724	30	18123.437500ns
14	-84	2	4	0	1	0	731	13	18285.156250ns
15	-84	2	5	0	1	0	734	16	18362.500000ns
16	-84	2	6	0	1	0	743	30	18598.437500ns
17	-84	4	0	0	1	0	361	31	9049.218750ns
18	-84	4	1	0	1	0	371	25	9294.531250ns
19	-84	4	2	0	1	0	454	2	11351.562500ns
20	-84	4	3	0	1	0	460	12	11509.375000ns
21	-84	5	0	0	1	0	1	3	27.343750ns
22	-84	5	1	0	1	0	6	26	170.312500ns
23	-84	5	2	0	1	0	13	7	330.468750ns
24	-84	5	3	0	1	0	16	6	404.687500ns
25	-84	5	4	0	1	0	451	29	11297.656250ns
26	-84	5	5	0	1	0	538	30	13473.437500ns
27	-84	5	6	0	1	0	545	10	13632.812500ns
28	-84	5	7	0	1	0	933	20	23340.625000ns
29	-84	5	8	0	1	0	939	26	23495.312500ns
30	-84	5	9	0	1	0	943	5	23578.906250ns
31	-84	5	10	0	1	0	946	1	23650.781250ns
32	-84	7	0	0	1	0	370	20	9265.625000ns
33	-84	7	1	0	1	0	376	26	9420.312500ns
34	-84	7	2	0	1	0	380	5	9503.906250ns
35	-84	7	3	0	1	0	383	1	9575.781250ns
36	-84	7	4	0	1	0	464	0	11600.000000ns
37	-84	7	5	0	1	0	467	1	11675.781250ns
38	-84	8	0	0	1	0	175	19	4389.843750ns
39	-84	8	1	0	1	0	181	15	4536.718750ns
40	-84	8	2	0	1	0	265	31	6649.218750ns
41	-84	8	3	0	1	0	269	5	6728.906250ns
42	-84	8	4	0	1	0	275	14	6885.937500ns
43	-84	8	5	0	1	0	897	21	22441.406250ns
44	-84	8	6	0	1	0	904	19	22614.843750ns
45	-84	8	7	0	1	0	932	12	23309.375000ns
46	-84	8	8	0	1	0	992	17	24813.281250ns
47	-84	8	9	0	1	0	995	18	24889.062500ns
48	-84	9	0	0	1	0	558	0	13950.000000ns
49	-84	9	1	0	1	0	564	17	14113.281250ns
50	-84	9	2	0	1	0	567	31	14199.218750ns
51	-84	9	3	0	1	0	651	8	16281.250000ns
52	-84	10	0	0	1	0	348	29	8722.656250ns
53	-84	10	1	0	1	0	355	10	8882.812500ns
54	-84	10	2	0	1	0	365	9	9132.031250ns
55	-84	10	3	0	1	0	443	3	11077.343750ns
56	-84	10	4	0	1	0	449	10	11232.812500ns
57	-84	10	5	0	1	0	33	20	840.625000ns
58	-84	10	6	0	1	0	183	14	4585.937500ns
59	-84	10	7	0	1	0	193	15	4836.718750ns
60	-84	10	8	0	1	0	196	3	4902.343750ns
61	-84	10	9	0	1	0	277	5	6928.906250ns
62	-84	10	10	0	1	0	280	12	7009.375000ns
63	-84	10	11	0	1	0	868	11	21708.593750ns
64	-84	10	12	0	1	0	874	9	21857.031250ns
65	-84	10	13	0	1	0	878	3	21952.343750ns
66	-84	10	14	0	1	0	880	30	22023.437500ns
67	-84	10	15	0	1	0	956	23	23917.968750ns
68	-84	10	16	0	1	0	960	4	24003.125000ns
69	-84	10	17	0	1	0	963	7	24080.468750ns
70	-84	10	18	0	1	0	965	29	24147.656250ns
71	-84	11	0	0	1	0	5	29	147.656250ns
72	-84	11	1	0	1	0	12	10	307.812500ns
73	-84	11	2	0	1	0	22	9	557.031250ns
74	-84	11	3	0	1	0	100	3	2502.343750ns
75	-84	11	4	0	1	0	106	10	2657.812500ns
76	-84	13	0	0	1	0	194	29	4872.656250ns
77	-84	13	1	0	1	0	201	20	5040.625000ns
78	-84	13	2	0	1	0	374	28	9371.875000ns
79	-84	13	3	0	1	0	381	12	9534.375000ns
80	-84	13	4	0	1	0	384	27	9621.093750ns
81	-84	13	5	0	1	0	387	14	9685.937500ns
82	-84	13	6	0	1	0	430	4	10753.125000ns
83	-84	13	7	0	1	0	476	20	11915.625000ns
84	-84	13	8	0	1	0	626	14	15660.937500ns
85	-84	13	9	0	1	0	636	15	15911.718750ns
86	-84	13	10	0	1	0	639	3	15977.343750ns
87	-84	13	11	0	1	0	720	5	18003.906250ns
88	-84	13	12	0	1	0	723	12	18084.375000ns
89	-84	14	0	0	1	0	74	1	1850.781250ns
90	-84	14	1	0	1	0	77	7	1930.468750ns
91	-84	14	2	0	1	0	79	30	1998.437500ns
92	-84	14	3	0	1	0	86	16	2162.500000ns
93	-84	14	4	0	1	0	163	7	4080.468750ns
94	-84	14	5	0	1	0	166	30	4173.437500ns
95	-84	14	6	0	1	0	170	1	4250.781250ns
96	-84	14	7	0	1	0	56	6	1404.687500ns
97	-84	14	8	0	1	0	62	8	1556.250000ns
98	-84	14	9	0	1	0	65	22	1642.187500ns
99	-84	14	10	0	1	0	68	7	1705.468750ns
100	-84	14	11	0	1	0	139	8	3481.250000ns
101	-84	14	12	0	1	0	148	1	3700.781250ns
102	-84	14	13	0	1	0	151	6	3779.687500ns
103	-84	14	14	0	1	0	743	22	18592.187500ns
104	-84	14	15	0	1	0	749	23	18742.968750ns
105	-84	14	16	0	1	0	835	21	20891.406250ns
106	-84	14	17	0	1	0	841	31	21049.218750ns
107	-84	14	18	0	1	0	845	1	21125.781250ns
108	-84	15	0	0	1	0	433	22	10842.187500ns
109	-84	15	1	0	1	0	439	23	10992.968750ns
110	-84	15	2	0	1	0	525	21	13141.406250ns
111	-84	15	3	0	1	0	531	31	13299.218750ns
112	-84	15	4	0	1	0	535	1	13375.781250ns
113	-84	21	0	0	1	0	730	30	18273.437500ns
114	-84	21	1	0	1	0	736	18	18414.062500ns
115	-84	21	2	0	1	0	746	5	18653.906250ns
116	-84	21	3	0	1	0	823	7	20580.468750ns
117	-84	21	4	0	1	0	829	17	20738.281250ns
118	-84	24	0	0	1	0	278	22	6967.187500ns
119	-84	24	1	0	1	0	284	7	7105.468750ns
120	-84	24	2	0	1	0	294	5	7353.906250ns
121	-84	24	3	0	1	0	368	1	9200.781250ns
122	-84	24	4	0	1	0	371	31	9299.218750ns
123	-84	24	5	0	1	0	375	6	9379.687500ns
124	-84	24	6	0	1	0	377	30	9448.437500ns
125	-84	24	7	0	1	0	979	7	24480.468750ns
126	-84	24	8	0	1	0	998	12	24959.375000ns
127	-84	25	0	0	1	0	18	6	454.687500ns
128	-84	25	1	0	1	0	27	13	685.156250ns
129	-84	25	2	0	1	0	636	13	15910.156250ns
130	-84	25	3	0	1	0	643	1	16075.781250ns
131	-84	25	4	0	1	0	646	20	16165.625000ns
132	-84	25	5	0	1	0	649	5	16228.906250ns
133	-84	25	6	0	1	0	724	28	18121.875000ns
134	-84	25	7	0	1	0	728	17	18213.281250ns
135	-84	25	8	0	1	0	731	27	18296.093750ns
136	-84	26	0	0	1	0	982	24	24568.750000ns
137	-84	27	0	0	1	0	158	24	3968.750000ns
138	-84	27	1	0	1	0	337	3	8427.343750ns
139	-84	27	2	0	1	0	339	2	8476.562500ns
140	-84	28	0	0	1	0	563	24	14093.750000ns
