thr	hits	freq	error
-84	214	171200	11703
-80	71	56800	6740.92
-76	50	40000	5656.85
-72	46	36800	5425.86
-68	115	92000	8579.04
-64	89	71200	7547.18
-60	86	68800	7418.89
-56	84	67200	7332.12
-52	54	43200	5878.78
-48	96	76800	7838.37
-44	83	66400	7288.35
-40	103	82400	8119.11
-36	149	119200	9765.24
-32	116	92800	8616.26
-28	127	101600	9015.54
-24	254	203200	12749.9
-20	644	515200	20301.7
-16	782	625600	22371.4
-12	1389	1.1112e+06	29815.4
-8	2501	2.0008e+06	40008
-4	1922	1.5376e+06	35072.5
0	1418	1.1344e+06	30125.1
4	1380	1.104e+06	29718.7
8	1195	956000	27655
12	619	495200	19903.8
16	560	448000	18931.5
20	429	343200	16569.9
24	319	255200	14288.5
28	237	189600	12315.8
32	181	144800	10762.9
36	133	106400	9226.05
40	141	112800	9499.47
44	108	86400	8313.84
48	110	88000	8390.47
52	77	61600	7019.97
56	117	93600	8653.32
60	118	94400	8690.22
64	93	74400	7714.92
68	111	88800	8428.52
72	76	60800	6974.24
