thr	hits	freq	error
-84	7	5600	2116.6
-80	6	4800	1959.59
-76	18	14400	3394.11
-72	17	13600	3298.48
-68	48	38400	5542.56
-64	58	46400	6092.62
-60	96	76800	7838.37
-56	86	68800	7418.89
-52	122	97600	8836.29
-48	131	104800	9156.42
-44	96	76800	7838.37
-40	248	198400	12598.4
-36	398	318400	15959.9
-32	608	486400	19726.1
-28	1183	946400	27515.8
-24	2123	1.6984e+06	36860.8
-20	3500	2.8e+06	47328.6
-16	3495	2.796e+06	47294.8
-12	3376	2.7008e+06	46482.7
-8	3408	2.7264e+06	46702.5
-4	3414	2.7312e+06	46743.6
0	3464	2.7712e+06	47084.6
4	3496	2.7968e+06	47301.6
8	3239	2.5912e+06	45529.8
12	1568	1.2544e+06	31678.4
16	772	617600	22227.9
20	468	374400	17306.6
24	442	353600	16819
28	279	223200	13362.6
32	275	220000	13266.5
36	200	160000	11313.7
40	121	96800	8800
44	101	80800	8039.9
48	70	56000	6693.28
52	68	54400	6596.97
56	24	19200	3919.18
60	16	12800	3200
64	6	4800	1959.59
68	3	2400	1385.64
72	1	800	800
