#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time
1	-68	222	0	0	1	0	470	8	11756.250000ns
2	-64	258	0	0	1	0	344	4	8603.125000ns
3	-64	263	0	0	1	0	467	2	11676.562500ns
4	-64	271	0	0	1	0	793	1	19825.781250ns
5	-64	280	0	0	1	0	587	11	14683.593750ns
6	-64	282	0	0	1	0	596	3	14902.343750ns
7	-60	313	0	0	1	0	934	4	23353.125000ns
8	-60	315	0	0	1	0	226	0	5650.000000ns
9	-60	315	1	0	1	0	916	11	22908.593750ns
10	-60	341	0	0	1	0	525	28	13146.875000ns
11	-56	352	0	0	1	0	995	9	24882.031250ns
12	-56	360	0	0	1	0	682	0	17050.000000ns
13	-56	361	0	0	1	0	476	6	11904.687500ns
14	-56	362	0	0	1	0	417	9	10432.031250ns
15	-56	364	0	0	1	0	562	5	14053.906250ns
16	-56	371	0	0	1	0	306	13	7660.156250ns
17	-56	371	1	0	1	0	522	6	13054.687500ns
18	-56	371	2	0	1	0	610	16	15262.500000ns
19	-56	372	0	0	1	0	385	7	9630.468750ns
20	-56	378	0	0	1	0	451	30	11298.437500ns
21	-56	379	0	0	1	0	213	19	5339.843750ns
22	-56	382	0	0	1	0	206	11	5158.593750ns
23	-56	390	0	0	1	0	395	2	9876.562500ns
24	-56	393	0	0	1	0	241	3	6027.343750ns
25	-56	393	1	0	1	0	966	3	24152.343750ns
26	-56	395	0	0	1	0	403	3	10077.343750ns
27	-56	399	0	0	1	0	437	14	10935.937500ns
28	-56	399	1	0	1	0	526	23	13167.968750ns
29	-52	402	0	0	1	0	487	18	12189.062500ns
30	-52	402	1	0	1	0	582	24	14568.750000ns
31	-52	407	0	0	1	0	412	19	10314.843750ns
32	-52	407	1	0	1	0	508	11	12708.593750ns
33	-52	408	0	0	1	0	218	31	5474.218750ns
34	-52	409	0	0	1	0	461	30	11548.437500ns
35	-52	409	1	0	1	0	557	17	13938.281250ns
36	-52	410	0	0	1	0	448	3	11202.343750ns
37	-52	412	0	0	1	0	531	12	13284.375000ns
38	-52	418	0	0	1	0	396	21	9916.406250ns
39	-52	418	1	0	1	0	406	12	10159.375000ns
40	-52	421	0	0	1	0	367	28	9196.875000ns
41	-52	421	1	0	1	0	463	27	11596.093750ns
42	-52	422	0	0	1	0	456	0	11400.000000ns
43	-52	422	1	0	1	0	544	17	13613.281250ns
44	-52	423	0	0	1	0	468	8	11706.250000ns
45	-52	423	1	0	1	0	960	16	24012.500000ns
46	-52	424	0	0	1	0	944	30	23623.437500ns
47	-52	425	0	0	1	0	759	1	18975.781250ns
48	-52	428	0	0	1	0	546	13	13660.156250ns
49	-52	430	0	0	1	0	454	14	11360.937500ns
50	-52	432	0	0	1	0	532	24	13318.750000ns
51	-52	432	1	0	1	0	628	24	15718.750000ns
52	-52	433	0	0	1	0	404	10	10107.812500ns
53	-52	433	1	0	1	0	410	20	10265.625000ns
54	-52	433	2	0	1	0	498	27	12471.093750ns
55	-52	435	0	0	1	0	414	1	10350.781250ns
56	-52	437	0	0	1	0	463	7	11580.468750ns
57	-52	438	0	0	1	0	413	29	10347.656250ns
58	-52	438	1	0	1	0	503	0	12575.000000ns
59	-52	439	0	0	1	0	319	4	7978.125000ns
60	-52	440	0	0	1	0	504	27	12621.093750ns
61	-52	440	1	0	1	0	514	28	12871.875000ns
62	-52	441	0	0	1	0	709	10	17732.812500ns
63	-52	442	0	0	1	0	558	20	13965.625000ns
64	-52	443	0	0	1	0	520	27	13021.093750ns
65	-52	444	0	0	1	0	451	19	11289.843750ns
66	-52	444	1	0	1	0	546	8	13656.250000ns
67	-52	445	0	0	1	0	436	12	10909.375000ns
68	-52	448	0	0	1	0	442	6	11054.687500ns
69	-52	448	1	0	1	0	538	4	13453.125000ns
70	-52	449	0	0	1	0	521	7	13030.468750ns
71	-52	449	1	0	1	0	924	0	23100.000000ns
72	-48	452	0	0	1	0	438	2	10951.562500ns
73	-48	452	1	0	1	0	528	31	13224.218750ns
