#thresh	dac
114	0
116	50
120	100
120	150
122	200
124	250
124	300
126	350
128	400
132	450
134	500
134	550
136	600
136	650
142	700
144	750
144	800
150	850
150	900
156	950
156	1000
156	1050
160	1100
160	1150
166	1200
166	1250
166	1300
178	1350
180	1400
180	1450
180	1500
180	1550
180	1600
186	1650
190	1700
192	1750
192	1800
194	1850
202	1900
206	1950
208	2000
212	2050
214	2100
216	2150
220	2200
222	2250
224	2300
224	2350
230	2400
230	2450
232	2500
238	2550
244	2600
246	2650
246	2700
250	2750
256	2800
