#thresh	dac
116	0
118	50
120	100
120	150
124	200
130	250
130	300
130	350
132	400
132	450
134	500
138	550
142	600
142	650
142	700
148	750
152	800
152	850
152	900
158	950
162	1000
164	1050
164	1100
164	1150
166	1200
170	1250
170	1300
172	1350
176	1400
182	1450
186	1500
188	1550
188	1600
192	1650
194	1700
194	1750
200	1800
202	1850
202	1900
206	1950
210	2000
212	2050
216	2100
220	2150
224	2200
224	2250
226	2300
230	2350
230	2400
234	2450
234	2500
244	2550
244	2600
250	2650
250	2700
252	2750
258	2800
