#thresh	dac
108	0
110	50
112	100
114	150
114	200
114	250
116	300
116	350
124	400
124	450
126	500
134	550
134	600
134	650
136	700
136	750
142	800
142	850
142	900
150	950
156	1000
156	1050
156	1100
156	1150
158	1200
158	1250
162	1300
168	1350
172	1400
174	1450
174	1500
174	1550
178	1600
178	1650
178	1700
178	1750
184	1800
192	1850
194	1900
196	1950
200	2000
200	2050
200	2100
210	2150
210	2200
214	2250
216	2300
218	2350
220	2400
224	2450
226	2500
228	2550
238	2600
240	2650
240	2700
248	2750
250	2800
252	2850
254	2900
258	2950
