# Number of sweeps:100
# Match window:31
# Search window:39
# Reject offset:3424
# Bunch offset:3464
# Coarse rollover:3563
# Threshold: [100, 140, 2]
# Channel:0
thr	hits	freq	window	error
-54	0	0	199	0
-50	0	0	199	0
-46	0	0	199	0
-42	0	0	199	0
-38	2	4000	199	2828.43
-34	1	2000	199	2000
-30	4	8000	199	4000
-26	31	62000	199	11135.5
-22	110	220000	199	20976.2
-18	413	826000	199	40644.8
-14	1412	2.824e+06	199	75153.2
-10	5070	1.014e+07	199	142408
-6	6636	1.3272e+07	199	162923
-2	6478	1.2956e+07	199	160972
2	1710	3.42e+06	199	82704.3
6	268	536000	199	32741.4
10	69	138000	199	16613.2
14	28	56000	199	10583
18	6	12000	199	4898.98
22	1	2000	199	2000
