#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time	etime
1	-34	4	0	0	1	0	1366	22	34167.187500ns	
2	-32	0	0	0	1	0	215	26	5395.312500ns	
3	-32	3	0	0	1	0	28	30	723.437500ns	
4	-32	3	1	0	1	0	1618	27	40471.093750ns	39747.656250ns
5	-30	2	0	0	1	0	353	29	8847.656250ns	
6	-30	2	1	0	1	0	377	29	9447.656250ns	600.000000ns
7	-30	4	0	0	1	0	405	25	10144.531250ns	
8	-28	0	0	0	1	0	596	0	14900.000000ns	
9	-28	0	1	0	1	0	998	27	24971.093750ns	10071.093750ns
10	-28	0	2	0	1	0	1976	29	49422.656250ns	24451.562500ns
11	-28	1	0	0	1	0	349	26	8745.312500ns	
12	-28	1	1	0	1	0	752	30	18823.437500ns	10078.125000ns
13	-28	1	2	0	1	0	853	30	21348.437500ns	2525.000000ns
14	-28	1	3	0	1	0	1160	26	29020.312500ns	7671.875000ns
15	-28	2	0	0	1	0	753	28	18846.875000ns	
16	-28	2	1	0	1	0	1833	27	45846.093750ns	26999.218750ns
17	-28	3	0	0	1	0	596	28	14921.875000ns	
18	-28	3	1	0	1	0	1770	25	44269.531250ns	29347.656250ns
19	-28	4	0	0	1	0	12	28	321.875000ns	
20	-28	4	1	0	1	0	341	1	8525.781250ns	8203.906250ns
21	-28	4	2	0	1	0	396	27	9921.093750ns	1395.312500ns
22	-28	4	3	0	1	0	916	28	22921.875000ns	13000.781250ns
23	-28	4	4	0	1	0	1783	31	44599.218750ns	21677.343750ns
24	-26	0	0	0	1	0	207	24	5193.750000ns	
25	-26	0	1	0	1	0	343	28	8596.875000ns	3403.125000ns
26	-26	0	2	0	1	0	852	30	21323.437500ns	12726.562500ns
27	-26	0	3	0	1	0	972	26	24320.312500ns	2996.875000ns
28	-26	0	4	0	1	0	1156	30	28923.437500ns	4603.125000ns
29	-26	0	5	0	1	0	1173	22	29342.187500ns	418.750000ns
30	-26	0	6	0	1	0	1533	25	38344.531250ns	9002.343750ns
31	-26	1	0	0	1	0	0	29	22.656250ns	
32	-26	1	1	0	1	0	205	26	5145.312500ns	5122.656250ns
33	-26	1	2	0	1	0	585	0	14625.000000ns	9479.687500ns
34	-26	1	3	0	1	0	818	31	20474.218750ns	5849.218750ns
35	-26	1	4	0	1	0	1339	25	33494.531250ns	13020.312500ns
36	-26	1	5	0	1	0	1744	24	43618.750000ns	10124.218750ns
37	-26	1	6	0	1	0	1746	27	43671.093750ns	52.343750ns
38	-26	2	0	0	1	0	333	30	8348.437500ns	
39	-26	2	1	0	1	0	1141	31	28549.218750ns	20200.781250ns
40	-26	2	2	0	1	0	1478	1	36950.781250ns	8401.562500ns
41	-26	3	0	0	1	0	210	26	5270.312500ns	
42	-26	3	1	0	1	0	736	27	18421.093750ns	13150.781250ns
43	-26	3	2	0	1	0	1194	28	29871.875000ns	11450.781250ns
44	-26	4	0	0	1	0	992	31	24824.218750ns	
45	-26	4	1	0	1	0	1312	29	32822.656250ns	7998.437500ns
46	-26	4	2	0	1	0	1593	22	39842.187500ns	7019.531250ns
47	-24	0	0	0	1	0	296	28	7421.875000ns	
