#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time	etime
1	-174	0	0	0	1	0	0	3	2.343750ns	
2	-174	0	1	0	1	0	8	3	202.343750ns	200.000000ns
3	-174	0	2	0	1	0	16	3	402.343750ns	200.000000ns
4	-174	0	3	0	1	0	24	2	601.562500ns	199.218750ns
5	-174	1	0	0	1	0	6	3	152.343750ns	
6	-174	1	1	0	1	0	14	3	352.343750ns	200.000000ns
7	-174	1	2	0	1	0	22	3	552.343750ns	200.000000ns
8	-174	1	3	0	1	0	30	3	752.343750ns	200.000000ns
9	-174	2	0	0	1	0	4	3	102.343750ns	
10	-174	2	1	0	1	0	12	3	302.343750ns	200.000000ns
11	-174	2	2	0	1	0	20	3	502.343750ns	200.000000ns
12	-174	2	3	0	1	0	28	3	702.343750ns	200.000000ns
13	-174	2	4	0	1	0	36	3	902.343750ns	200.000000ns
14	-174	2	5	0	1	0	44	3	1102.343750ns	200.000000ns
15	-174	2	6	0	1	0	52	3	1302.343750ns	200.000000ns
16	-174	2	7	0	1	0	60	3	1502.343750ns	200.000000ns
17	-174	2	8	0	1	0	68	3	1702.343750ns	200.000000ns
18	-174	2	9	0	1	0	76	3	1902.343750ns	200.000000ns
19	-174	2	10	0	1	0	84	3	2102.343750ns	200.000000ns
20	-174	2	11	0	1	0	92	3	2302.343750ns	200.000000ns
21	-174	2	12	0	1	0	100	3	2502.343750ns	200.000000ns
22	-174	2	13	0	1	0	108	3	2702.343750ns	200.000000ns
23	-174	2	14	0	1	0	116	2	2901.562500ns	199.218750ns
24	-174	3	0	0	1	0	0	3	2.343750ns	
25	-174	3	1	0	1	0	8	2	201.562500ns	199.218750ns
26	-174	3	2	0	1	0	16	2	401.562500ns	200.000000ns
27	-174	3	3	0	1	0	24	3	602.343750ns	200.781250ns
28	-174	3	4	0	1	0	32	3	802.343750ns	200.000000ns
29	-174	3	5	0	1	0	40	3	1002.343750ns	200.000000ns
30	-174	3	6	0	1	0	48	3	1202.343750ns	200.000000ns
31	-174	3	7	0	1	0	56	3	1402.343750ns	200.000000ns
32	-174	3	8	0	1	0	64	2	1601.562500ns	199.218750ns
33	-174	3	9	0	1	0	72	2	1801.562500ns	200.000000ns
34	-174	3	10	0	1	0	80	3	2002.343750ns	200.781250ns
35	-174	3	11	0	1	0	88	3	2202.343750ns	200.000000ns
36	-174	3	12	0	1	0	96	2	2401.562500ns	199.218750ns
37	-174	3	13	0	1	0	104	3	2602.343750ns	200.781250ns
38	-174	3	14	0	1	0	112	3	2802.343750ns	200.000000ns
39	-174	4	0	0	1	0	3	3	77.343750ns	
40	-174	4	1	0	1	0	11	3	277.343750ns	200.000000ns
41	-174	4	2	0	1	0	19	2	476.562500ns	199.218750ns
42	-174	4	3	0	1	0	27	3	677.343750ns	200.781250ns
43	-174	4	4	0	1	0	35	2	876.562500ns	199.218750ns
44	-174	4	5	0	1	0	43	3	1077.343750ns	200.781250ns
45	-174	4	6	0	1	0	51	3	1277.343750ns	200.000000ns
46	-174	4	7	0	1	0	59	2	1476.562500ns	199.218750ns
47	-174	4	8	0	1	0	67	3	1677.343750ns	200.781250ns
48	-174	4	9	0	1	0	75	3	1877.343750ns	200.000000ns
49	-174	4	10	0	1	0	83	3	2077.343750ns	200.000000ns
50	-174	4	11	0	1	0	91	3	2277.343750ns	200.000000ns
51	-174	4	12	0	1	0	99	3	2477.343750ns	200.000000ns
52	-174	4	13	0	1	0	107	2	2676.562500ns	199.218750ns
53	-174	4	14	0	1	0	115	3	2877.343750ns	200.781250ns
54	-174	5	0	0	1	0	7	3	177.343750ns	
55	-174	5	1	0	1	0	15	3	377.343750ns	200.000000ns
56	-174	5	2	0	1	0	23	3	577.343750ns	200.000000ns
57	-174	5	3	0	1	0	31	2	776.562500ns	199.218750ns
