-64	1	2000
-62	1	2000
-60	0	0
-58	0	0
-56	12	24000
-54	19	38000
-52	24	48000
-50	28	56000
-48	34	68000
-46	34	68000
-44	35	70000
-42	47	94000
-40	39	78000
-38	40	80000
-36	28	56000
-34	43	86000
-32	37	74000
-30	41	82000
-28	46	92000
-26	49	98000
-24	51	102000
-22	58	116000
-20	105	210000
-18	114	228000
-16	216	432000
-14	328	656000
-12	405	810000
-10	472	944000
-8	504	1.008e+06
-6	525	1.05e+06
-4	518	1.036e+06
-2	482	964000
0	416	832000
2	340	680000
4	221	442000
6	130	260000
8	107	214000
10	65	130000
12	38	76000
14	50	100000
16	21	42000
18	42	84000
20	33	66000
22	19	38000
24	36	72000
26	40	80000
28	34	68000
30	33	66000
32	15	30000
34	5	10000
36	4	8000
38	2	4000
40	3	6000
42	7	14000
44	0	0
46	0	0
48	0	0
50	0	0
52	1	2000
54	0	0
