thr	hits	freq	error
-74	0	0	
-70	0	0	
-66	0	0	
-62	0	0	
-58	0	0	
-54	0	0	
-50	0	0	
-46	0	0	
-42	0	0	
-38	0	0	
-34	0	0	
-30	1	500	500
-26	5	2500	1118.03
-22	23	11500	2397.92
-18	64	32000	4000
-14	353	176500	9394.15
-10	4839	2.4195e+06	34781.5
-6	21667	1.08335e+07	73598.6
-2	12428	1.2428e+07	111481
2	7963	7.963e+06	89235.6
6	2962	2.962e+06	54424.3
10	712	712000	26683.3
14	126	126000	11225
18	29	29000	5385.16
22	9	9000	3000
26	1	1000	1000
30	0	0	
34	0	0	
38	0	0	
42	0	0	
46	0	0	
50	0	0	
54	0	0	
58	0	0	
62	0	0	
66	0	0	
70	0	0	
74	0	0	
