# Number of sweeps:100
# Match window:31
# Search window:39
# Reject offset:3424
# Bunch offset:3464
# Coarse rollover:3563
# Threshold: [100, 140, 2]
# Channel:0
thr	hits	freq	window	error
-54	0	0	1999	0
-50	0	0	1999	0
-46	1	200	1999	200
-42	1	200	1999	200
-38	12	2400	1999	692.82
-34	80	16000	1999	1788.85
-30	249	49800	1999	3155.95
-26	706	141200	1999	5314.13
-22	1677	335400	1999	8190.24
-18	4692	938400	1999	13699.6
-14	7062	2.8248e+06	999	33614.3
-10	5640	9.024e+06	249	120160
-6	4119	1.31808e+07	124	205374
-2	3810	1.2192e+07	124	197521
2	7091	2.8364e+06	999	33683.2
6	3754	750800	1999	12254
10	1186	237200	1999	6887.67
14	417	83400	1999	4084.12
18	148	29600	1999	2433.11
22	41	8200	1999	1280.62
