thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	0	0	
-64	0	0	
-60	0	0	
-56	0	0	
-52	0	0	
-48	0	0	
-44	4	3200	1600
-40	11	8800	2653.3
-36	44	35200	5306.6
-32	75	60000	6928.2
-28	56	44800	5986.65
-24	25	20000	4000
-20	151	120800	9830.56
-16	585	468000	19349.4
-12	1107	885600	26617.3
-8	1309	1.0472e+06	28944.1
-4	1233	986400	28091.3
0	886	708800	23812.6
4	377	301600	15533.2
8	108	86400	8313.84
12	72	57600	6788.23
16	46	36800	5425.86
20	15	12000	3098.39
24	4	3200	1600
28	0	0	
32	0	0	
36	0	0	
40	0	0	
44	0	0	
48	0	0	
52	0	0	
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
