thr	hits	freq	error
-54	0	0	
-50	1	100	100
-46	4	400	200
-42	11	1100	331.662
-38	31	3100	556.776
-34	39	3900	624.5
-30	68	6800	824.621
-26	120	12000	1095.45
-22	211	21100	1452.58
-18	513	51300	2264.95
-14	1876	187600	4331.28
-10	16756	6.7024e+06	51778
-6	15767	1.26136e+07	100453
-2	16252	1.30016e+07	101987
2	10846	8.6768e+06	83315.3
6	4336	3.4688e+06	52678.6
10	1414	1.1312e+06	30082.6
14	470	376000	17343.6
18	154	123200	9927.74
22	65	52000	6449.81
26	29	23200	4308.13
30	21	16800	3666.06
34	3	2400	1385.64
38	0	0	
42	0	0	
