# Number of sweeps:100
# Match window:31
# Search window:39
# Reject offset:3456
# Bunch offset:3464
# Coarse offset:0
# Coarse rollover:3563
# Threshold: [100, 150, 1]
# Channel:3
thr	hits	freq	window	error
-54	0	0	31	0
-52	1	12500	31	12500
-50	3	37500	31	21650.6
-48	4	50000	31	25000
-46	8	100000	31	35355.3
-44	6	75000	31	30618.6
-42	14	175000	31	46770.7
-40	31	387500	31	69597.1
-38	60	750000	31	96824.6
-36	70	875000	31	104583
-34	71	887500	31	105327
-32	62	775000	31	98425.1
-30	93	1.1625e+06	31	120546
-28	83	1.0375e+06	31	113880
-26	126	1.575e+06	31	140312
-24	95	1.1875e+06	31	121835
-22	166	2.075e+06	31	161051
-20	154	1.925e+06	31	155121
-18	227	2.8375e+06	31	188331
-16	283	3.5375e+06	31	210283
-14	419	5.2375e+06	31	255869
-12	555	6.9375e+06	31	294480
-10	744	9.3e+06	31	340955
-8	945	1.18125e+07	31	384261
-6	1053	1.31625e+07	31	405625
-4	1064	1.33e+07	31	407738
-2	1050	1.3125e+07	31	405046
0	972	1.215e+07	31	389711
2	644	8.05e+06	31	317214
4	459	5.7375e+06	31	267804
6	368	4.6e+06	31	239792
8	249	3.1125e+06	31	197247
10	261	3.2625e+06	31	201944
12	186	2.325e+06	31	170477
14	135	1.6875e+06	31	145237
16	153	1.9125e+06	31	154616
18	77	962500	31	109687
20	97	1.2125e+06	31	123111
22	58	725000	31	95197.2
24	62	775000	31	98425.1
26	44	550000	31	82915.6
28	44	550000	31	82915.6
30	41	512500	31	80039.1
32	13	162500	31	45069.4
34	12	150000	31	43301.3
36	8	100000	31	35355.3
38	6	75000	31	30618.6
40	4	50000	31	25000
42	2	25000	31	17677.7
44	0	0	31	0
