thr	hits	freq	error
-84	0	0	
-80	0	0	
-76	0	0	
-72	0	0	
-68	1	1000	1000
-64	2	2000	1414.21
-60	5	5000	2236.07
-56	6	6000	2449.49
-52	11	11000	3316.62
-48	51	51000	7141.43
-44	32	32000	5656.85
-40	283	283000	16822.6
-36	568	568000	23832.8
-32	694	694000	26343.9
-28	941	941000	30675.7
-24	615	615000	24799.2
-20	1135	1.135e+06	33689.8
-16	4324	4.324e+06	65757.1
-12	6899	6.899e+06	83060.2
-8	6899	6.899e+06	83060.2
-4	6888	6.888e+06	82994
0	6895	6.895e+06	83036.1
4	3473	3.473e+06	58932.2
8	1367	1.367e+06	36973
12	609	609000	24677.9
16	479	479000	21886.1
20	301	301000	17349.4
24	204	204000	14282.9
28	157	157000	12530
32	93	93000	9643.65
36	50	50000	7071.07
40	23	23000	4795.83
44	10	10000	3162.28
48	1	1000	1000
52	1	1000	1000
56	0	0	
60	0	0	
64	0	0	
68	0	0	
72	0	0	
