# Ro	Voff	sigma
1.58054e+07	2.26231	8.0389
1.58779e+07	2.39659	8.03228
1.58954e+07	1.47496	8.48476
1.59053e+07	1.65836	8.37334
1.5911e+07	0.1429	9.09671
1.59155e+07	1.26379	8.5963
1.59116e+07	1.57867	8.63042
1.59001e+07	2.44443	8.10856
1.58365e+07	-0.706263	7.2977
1.58089e+07	-2.05261	8.13221
1.58579e+07	-1.53222	7.78639
1.57649e+07	2.52722	9.02375
1.59106e+07	-2.00933	7.83402
1.59333e+07	-1.47346	7.8287
1.59675e+07	-1.36507	7.58644
1.59598e+07	-0.400802	7.05106
1.59037e+07	-1.7462	7.10036
1.587e+07	-0.714862	7.44041
1.58754e+07	-1.20984	7.76098
1.59111e+07	-2.53875	7.96077
1.59294e+07	-4.06908	8.74301
1.59104e+07	-2.79159	8.13641
1.59346e+07	-5.08573	9.42608
1.59072e+07	-1.25483	7.53097
